Week,Whisky: (Canada),White wine: (Canada),Craft Beer: (Canada)
27-04-2025,44,20,5
04-05-2025,46,22,6
11-05-2025,48,22,6
18-05-2025,53,22,5
25-05-2025,48,20,6
01-06-2025,47,20,7
08-06-2025,50,22,7
15-06-2025,50,23,6
22-06-2025,48,24,5
29-06-2025,49,23,5
06-07-2025,49,23,7
13-07-2025,51,23,6
20-07-2025,53,24,5
27-07-2025,54,25,6
03-08-2025,60,25,5
10-08-2025,49,23,6
17-08-2025,51,25,5
24-08-2025,54,24,5
31-08-2025,65,20,4
